"region","freq_band","pval_type","pval","experiment","data_type","pval_fdr_adjusted","fdr_significant"
"Acc_x_AMY",4,"els_spval",1.68298483105289e-05,"ELS","coherence",2.55153030223924e-05,TRUE
"Acc_x_AMY",4,"els_cgrp_intn_par_pval",0.000165124023196954,"ELS","coherence",0.000237101161513575,TRUE
"Acc_x_AMY",4,"els_cgrp_intn_spval",7.256357753882e-05,"ELS","coherence",0.000105890823248832,TRUE
"Acc_x_LPBN",1,"els_par_pval",0.447131206173972,"ELS","coherence",0.507126026242885,FALSE
"Acc_x_LPBN",1,"els_spval",2e-16,"ELS","coherence",3.74112734864301e-16,TRUE
"Acc_x_LPBN",1,"els_cgrp_intn_par_pval",0.014587711631055,"ELS","coherence",0.0188337026245321,TRUE
"Acc_x_LPBN",1,"els_cgrp_intn_spval",2e-16,"ELS","coherence",3.74112734864301e-16,TRUE
"Acc_x_LPBN",2,"els_par_pval",0.78689729329416,"ELS","coherence",0.833404225521947,FALSE
"Acc_x_LPBN",2,"els_spval",0.0140788920267411,"ELS","coherence",0.0182556979102171,TRUE
"Acc_x_LPBN",2,"els_cgrp_intn_par_pval",0.604819219793559,"ELS","coherence",0.669062704622913,FALSE
"Acc_x_LPBN",2,"els_cgrp_intn_spval",2e-16,"ELS","coherence",3.74112734864301e-16,TRUE
"Acc_x_LPBN",3,"els_par_pval",0.619774728577974,"ELS","coherence",0.682209037845043,FALSE
"Acc_x_LPBN",3,"els_spval",2e-16,"ELS","coherence",3.74112734864301e-16,TRUE
"Acc_x_LPBN",3,"els_cgrp_intn_par_pval",0.264149727541974,"ELS","coherence",0.310194175462135,FALSE
"Acc_x_LPBN",3,"els_cgrp_intn_spval",2e-16,"ELS","coherence",3.74112734864301e-16,TRUE
"Acc_x_LPBN",4,"els_par_pval",0.11107973429452,"ELS","coherence",0.135966450721161,FALSE
"Acc_x_LPBN",4,"els_spval",2e-16,"ELS","coherence",3.74112734864301e-16,TRUE
"Acc_x_LPBN",4,"els_cgrp_intn_par_pval",2e-16,"ELS","coherence",3.74112734864301e-16,TRUE
"Acc_x_LPBN",4,"els_cgrp_intn_spval",0.01411593333946,"ELS","coherence",0.0182772778499366,TRUE
"Acc_x_MD_thal",1,"els_par_pval",0.279921549690324,"ELS","coherence",0.327000923758188,FALSE
"Acc_x_MD_thal",1,"els_spval",2e-16,"ELS","coherence",3.74112734864301e-16,TRUE
"Acc_x_MD_thal",1,"els_cgrp_intn_par_pval",3.80794335921216e-15,"ELS","coherence",7.00599024610697e-15,TRUE
"Acc_x_MD_thal",1,"els_cgrp_intn_spval",2e-16,"ELS","coherence",3.74112734864301e-16,TRUE
"Acc_x_MD_thal",2,"els_par_pval",0.801765652786648,"ELS","coherence",0.845446212242471,FALSE
"Acc_x_MD_thal",2,"els_spval",0.415399492537761,"ELS","coherence",0.474742277186013,FALSE
"Acc_x_MD_thal",2,"els_cgrp_intn_par_pval",6.68749137349986e-13,"ELS","coherence",1.19839845413117e-12,TRUE
"Acc_x_MD_thal",2,"els_cgrp_intn_spval",3.40614612737156e-07,"ELS","coherence",5.67268946119873e-07,TRUE
"Acc_x_MD_thal",3,"els_par_pval",0.493067198249863,"ELS","coherence",0.555010313607886,FALSE
